neg,neu,pos,compound
0.106,0.766,0.128,0.6994
0.099,0.847,0.053,-0.4404
0.153,0.847,0.0,-0.4019
0.0,0.917,0.083,0.25
0.111,0.76,0.129,0.2584
0.081,0.871,0.047,-0.2006
0.0,0.699,0.301,0.802
0.0,1.0,0.0,0.0
0.182,0.739,0.079,-0.4767
0.097,0.761,0.141,0.7347
0.119,0.811,0.07,-0.2263
0.0,0.885,0.115,0.5423
0.022,0.935,0.044,0.1311
0.0,0.941,0.059,0.3182
0.202,0.798,0.0,-0.5859
0.0,0.769,0.231,0.5423
0.0,1.0,0.0,0.0
0.0,0.899,0.101,0.4019
0.0,0.69,0.31,0.8402
0.059,0.72,0.22,0.7655
0.188,0.812,0.0,-0.6226
0.0,0.654,0.346,0.5086
0.0,1.0,0.0,0.0
0.241,0.759,0.0,-0.6597
0.111,0.778,0.111,-0.0018
0.085,0.915,0.0,-0.5106
0.0,0.945,0.055,0.34
0.094,0.761,0.145,0.6428
0.166,0.721,0.113,-0.4336
0.036,0.837,0.127,0.8059
0.078,0.922,0.0,-0.3182
0.0,0.833,0.167,0.25
0.045,0.791,0.163,0.9246
0.129,0.644,0.228,0.2677
0.0,0.866,0.134,0.8074
0.0,1.0,0.0,0.0
0.091,0.828,0.082,-0.4914
0.078,0.818,0.105,0.2649
0.044,0.924,0.032,-0.1796
0.0,0.918,0.082,0.5423
0.0,1.0,0.0,0.0
0.095,0.905,0.0,-0.296
0.117,0.757,0.126,-0.1027
0.036,0.799,0.165,0.9748
0.135,0.792,0.073,-0.4434
0.0,0.902,0.098,0.4939
0.05,0.914,0.036,-0.1303
0.0,0.949,0.051,0.1531
0.116,0.884,0.0,-0.6249
0.166,0.834,0.0,-0.6588
0.094,0.703,0.203,0.8542
0.121,0.879,0.0,-0.296
0.102,0.652,0.246,0.6249
0.139,0.831,0.03,-0.83
0.0,0.856,0.144,0.9556
0.096,0.866,0.039,-0.5859
