neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.0,0.714,0.286,0.5574
0.0,1.0,0.0,0.0
0.389,0.611,0.0,-0.836
0.123,0.877,0.0,-0.2732
0.0,0.597,0.403,0.4019
0.28,0.72,0.0,-0.5423
0.12,0.543,0.337,0.4588
0.0,1.0,0.0,0.0
0.231,0.769,0.0,-0.7184
0.0,1.0,0.0,0.0
0.364,0.511,0.125,-0.6369
0.246,0.641,0.113,-0.4003
0.0,1.0,0.0,0.0
0.0,0.774,0.226,0.8591
0.0,0.797,0.203,0.4215
0.167,0.833,0.0,-0.7506
0.087,0.913,0.0,-0.7506
0.493,0.414,0.093,-0.8904
0.159,0.841,0.0,-0.5574
0.072,0.861,0.067,-0.0516
0.091,0.909,0.0,-0.3182
0.209,0.732,0.06,-0.9303
0.157,0.843,0.0,-0.3818
0.0,1.0,0.0,0.0
0.412,0.588,0.0,-0.8271
0.152,0.759,0.09,-0.5574
0.102,0.831,0.067,-0.2732
0.093,0.774,0.133,0.1779
0.059,0.941,0.0,-0.296
0.078,0.852,0.07,-0.1779
0.0,1.0,0.0,0.0
0.191,0.809,0.0,-0.765
0.126,0.747,0.127,0.0509
0.0,1.0,0.0,0.0
0.0,0.931,0.069,0.4939
0.281,0.719,0.0,-0.6908
0.0,1.0,0.0,0.0
0.137,0.863,0.0,-0.2263
0.14,0.86,0.0,-0.3818
0.0,0.89,0.11,0.6204
0.159,0.841,0.0,-0.6249
0.0,1.0,0.0,0.0
0.0,0.94,0.06,0.4215
0.163,0.704,0.133,-0.4215
0.0,0.869,0.131,0.6369
0.326,0.543,0.131,-0.6486
0.318,0.682,0.0,-0.4215
0.296,0.704,0.0,-0.7096
0.0,1.0,0.0,0.0
0.099,0.901,0.0,-0.5267
0.31,0.69,0.0,-0.4019
0.0,0.915,0.085,0.3818
0.0,1.0,0.0,0.0
0.254,0.746,0.0,-0.7579
0.0,0.912,0.088,0.34
0.047,0.848,0.105,0.6808
0.0,0.802,0.198,0.7096
0.0,0.595,0.405,0.7579
0.0,1.0,0.0,0.0
0.179,0.821,0.0,-0.34
0.0,0.581,0.419,0.5574
0.221,0.638,0.14,-0.4404
0.218,0.782,0.0,-0.5994
0.0,0.761,0.239,0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.286,0.714,0.0,-0.5574
0.102,0.898,0.0,-0.5267
0.256,0.64,0.104,-0.4404
0.0,1.0,0.0,0.0
0.0,0.865,0.135,0.5574
0.0,1.0,0.0,0.0
0.191,0.809,0.0,-0.3818
0.0,0.797,0.203,0.4215
0.15,0.8,0.05,-0.6124
0.265,0.735,0.0,-0.5574
0.205,0.795,0.0,-0.5574
0.0,0.753,0.247,0.5574
0.0,0.806,0.194,0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.279,0.721,0.0,-0.4767
0.0,0.714,0.286,0.5574
0.0,1.0,0.0,0.0
0.485,0.515,0.0,-0.6908
0.208,0.566,0.226,0.0772
0.229,0.711,0.061,-0.7506
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.206,0.794,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.308,0.57,0.122,-0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.131,0.838,0.031,-0.6808
0.0,0.874,0.126,0.3182
0.0,1.0,0.0,0.0
0.0,0.741,0.259,0.5423
0.0,0.936,0.064,0.0258
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.162,0.541,0.296,0.4543
0.0,1.0,0.0,0.0
0.142,0.676,0.182,0.1531
0.0,1.0,0.0,0.0
0.351,0.649,0.0,-0.6597
0.0,0.888,0.112,0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.124,0.876,0.0,-0.1779
0.167,0.833,0.0,-0.5267
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.783,0.217,0.5574
0.0,0.904,0.096,0.1531
0.16,0.84,0.0,-0.6351
0.0,1.0,0.0,0.0
0.0,0.69,0.31,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.843,0.157,0.0772
0.358,0.642,0.0,-0.5994
0.0,0.932,0.068,0.0258
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.149,0.851,0.0,-0.2732
0.0,1.0,0.0,0.0
0.218,0.782,0.0,-0.7212
0.0,0.916,0.084,0.0258
0.203,0.797,0.0,-0.4215
0.118,0.882,0.0,-0.3291
0.127,0.727,0.145,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.867,0.133,0.4449
0.0,0.743,0.257,0.5423
0.0,1.0,0.0,0.0
0.074,0.777,0.149,0.296
0.0,0.836,0.164,0.3724
0.0,0.714,0.286,0.5574
0.0,1.0,0.0,0.0
0.0,0.898,0.102,0.1779
0.0,1.0,0.0,0.0
0.0,0.916,0.084,0.0258
0.279,0.721,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.153,0.739,0.108,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.059,0.941,0.0,-0.3182
0.138,0.862,0.0,-0.6124
0.09,0.862,0.048,-0.34
0.0,1.0,0.0,0.0
0.0,0.816,0.184,0.4019
0.17,0.83,0.0,-0.6486
0.0,1.0,0.0,0.0
0.075,0.828,0.097,0.0258
0.0,0.856,0.144,0.5719
0.058,0.942,0.0,-0.2411
0.0,1.0,0.0,0.0
0.0,0.823,0.177,0.4215
0.0,1.0,0.0,0.0
0.245,0.652,0.103,-0.3818
0.084,0.839,0.077,-0.0516
0.152,0.632,0.216,0.1779
0.317,0.683,0.0,-0.6249
0.0,1.0,0.0,0.0
0.478,0.522,0.0,-0.9001
0.235,0.765,0.0,-0.6486
0.0,1.0,0.0,0.0
0.414,0.586,0.0,-0.8481
0.0,0.845,0.155,0.0258
0.0,1.0,0.0,0.0
0.0,0.836,0.164,0.7269
0.196,0.804,0.0,-0.296
0.0,1.0,0.0,0.0
0.141,0.859,0.0,-0.2023
0.273,0.581,0.145,-0.296
0.086,0.914,0.0,-0.4767
0.0,0.84,0.16,0.2732
0.09,0.874,0.036,-0.4122
0.184,0.816,0.0,-0.3089
0.398,0.602,0.0,-0.6486
0.0,1.0,0.0,0.0
0.0,0.878,0.122,0.381
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.902,0.098,0.0772
0.279,0.721,0.0,-0.7003
0.171,0.732,0.098,-0.2732
0.0,1.0,0.0,0.0
0.0,0.612,0.388,0.5859
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.236,0.545,0.218,-0.0516
0.0,0.879,0.121,0.0258
0.189,0.811,0.0,-0.4215
0.148,0.852,0.0,-0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.285,0.669,0.046,-0.8316
0.0,1.0,0.0,0.0
0.103,0.897,0.0,-0.3182
0.0,1.0,0.0,0.0
0.218,0.728,0.053,-0.5267
0.161,0.839,0.0,-0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.435,0.565,0.0,-0.8271
0.0,0.782,0.218,0.7506
0.0,0.833,0.167,0.296
0.128,0.747,0.125,-0.2732
0.0,0.808,0.192,0.8074
0.249,0.751,0.0,-0.5106
0.0,0.796,0.204,0.3182
0.051,0.849,0.1,0.3182
0.067,0.817,0.116,0.25
0.044,0.909,0.046,0.0258
0.0,1.0,0.0,0.0
0.128,0.872,0.0,-0.296
0.171,0.829,0.0,-0.7506
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.273,0.727,0.0,-0.4588
0.0,0.794,0.206,0.3818
0.0,1.0,0.0,0.0
0.041,0.763,0.197,0.81
0.0,1.0,0.0,0.0
0.172,0.745,0.083,-0.316
0.102,0.721,0.177,0.3182
0.293,0.707,0.0,-0.4404
0.118,0.882,0.0,-0.4215
0.173,0.827,0.0,-0.7579
0.0,0.86,0.14,0.0772
0.0,1.0,0.0,0.0
0.319,0.58,0.101,-0.6705
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.05,0.876,0.074,0.0516
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.893,0.107,0.34
0.151,0.849,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,0.936,0.064,0.0258
0.312,0.688,0.0,-0.8271
0.0,1.0,0.0,0.0
0.0,0.859,0.141,0.3875
0.073,0.927,0.0,-0.5994
0.0,0.5,0.5,0.8402
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.176,0.824,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.36,0.64,0.0,-0.6705
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.73,0.27,0.4019
0.187,0.813,0.0,-0.3182
0.0,0.823,0.177,0.4215
0.0,1.0,0.0,0.0
0.0,0.904,0.096,0.1779
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.133,0.867,0.0,-0.3182
0.0,0.775,0.225,0.4939
0.215,0.785,0.0,-0.6249
0.099,0.901,0.0,-0.296
0.171,0.829,0.0,-0.4767
0.307,0.693,0.0,-0.7964
0.244,0.756,0.0,-0.7003
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.317,0.683,0.0,-0.6249
0.274,0.726,0.0,-0.5267
0.0,1.0,0.0,0.0
0.0,0.903,0.097,0.1027
0.0,1.0,0.0,0.0
0.07,0.8,0.13,0.296
0.0,0.889,0.111,0.3612
0.196,0.804,0.0,-0.296
0.31,0.69,0.0,-0.743
0.178,0.822,0.0,-0.6597
0.111,0.822,0.067,-0.6854
0.119,0.734,0.147,0.128
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.89,0.11,0.3818
0.141,0.617,0.242,0.5994
0.0,0.708,0.292,0.8519
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.043,0.836,0.121,0.6369
0.072,0.799,0.129,0.2732
0.0,0.941,0.059,0.3182
0.0,1.0,0.0,0.0
0.127,0.873,0.0,-0.743
0.0,0.894,0.106,0.3612
0.184,0.64,0.176,-0.0258
0.0,1.0,0.0,0.0
0.153,0.847,0.0,-0.5574
0.0,0.833,0.167,0.4215
0.0,0.644,0.356,0.8555
0.31,0.69,0.0,-0.5574
0.126,0.874,0.0,-0.5994
0.0,0.777,0.223,0.5106
0.132,0.749,0.119,-0.0772
0.312,0.618,0.071,-0.8481
0.207,0.682,0.112,-0.5574
0.074,0.824,0.102,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.059,0.814,0.127,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.606,0.394,0.0,-0.8271
0.178,0.822,0.0,-0.3818
0.0,1.0,0.0,0.0
0.242,0.758,0.0,-0.4939
0.167,0.833,0.0,-0.1531
0.605,0.395,0.0,-0.8934
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.128,0.872,0.0,-0.2263
0.0,1.0,0.0,0.0
0.252,0.748,0.0,-0.4019
0.0,1.0,0.0,0.0
0.438,0.562,0.0,-0.5994
0.0,1.0,0.0,0.0
0.307,0.693,0.0,-0.4767
0.262,0.738,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.684,0.316,0.5719
0.39,0.61,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.854,0.146,0.4404
0.241,0.759,0.0,-0.5423
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.121,0.421,0.458,0.802
0.32,0.68,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.619,0.381,0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.184,0.816,0.0,-0.2023
0.248,0.752,0.0,-0.5106
0.0,0.711,0.289,0.6908
0.0,0.732,0.268,0.5106
0.449,0.551,0.0,-0.891
0.132,0.747,0.121,-0.0516
0.0,0.737,0.263,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.29,0.71,0.0,-0.6705
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.804,0.196,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.114,0.742,0.144,0.1779
0.0,0.833,0.167,0.6369
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.833,0.167,0.4939
0.0,1.0,0.0,0.0
0.198,0.802,0.0,-0.4939
0.0,1.0,0.0,0.0
0.266,0.734,0.0,-0.6908
0.412,0.588,0.0,-0.743
0.315,0.685,0.0,-0.3182
0.155,0.845,0.0,-0.296
0.0,1.0,0.0,0.0
0.186,0.814,0.0,-0.1531
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
